Sort,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
104,,aet 00,994,3,3,57,86,40,-46,Level A
105,,shouou 07,1045,1,1,16,84,38,-46,Level A
106,,arrarat 07,1152,1,1,9,103,56,-47,Level B
107,,laconique 00,1019,1,1,37,82,35,-47,Level A
108,,KnutY 07,1205,1,1,4,98,50,-48,Level A
109,,ennil 04,929,3,2,45,90,42,-48,Level A
110,,onewords 04,977,2,1,17,89,41,-48,Level A
111,,punkat 06,1013,1,1,11,84,36,-48,Level A
112,,ilikecar 07,994,2,2,56,80,32,-48,Level A
113,,checkmatejack 07,1087,1,1,19,102,53,-49,Level B
114,,slumberjack 07,1024,3,2,20,74,25,-49,Level A
115,,stefaan 00,1024,1,1,19,87,37,-50,Level A
116,,benoz 06,1191,1,1,6,83,33,-50,Level A
117,,justacityboy 04,1159,1,1,6,101,50,-51,Level A
118,,Bryceman 03,1165,1,0,88,94,43,-51,Level A
119,,zafercaymaz 07,897,2,2,8,89,38,-51,Level A
120,,Imiro 07,925,1,1,24,102,50,-52,Level C
121,,prodenter 06,1041,1,1,8,102,50,-52,Level A
122,,brunuoh 07,1203,1,1,8,102,50,-52,Level A
123,,GaryP 01,934,1,1,14,95,43,-52,Level A
124,,Kyobutungi 07,1076,1,0.5,77,77,25,-52,Level A
125,,dolphinsfan 06,973,3,2.5,53,94,41,-53,Level A
126,,Giuditta 03,980,1,1,9,86,33,-53,Level A
127,,TravisBarker 05-2,1063,1,0.5,24,100,46,-54,Level B
128,,borell 07,1211,2,2,3,87,33,-54,Level A
129,,Agenbite 99,1025,2,0,24,88,33,-55,Level A
130,,hanntannif 07,1102,1,1,13,86,31,-55,Level A
131,,Eladar 07,900,4,3,25,98,40,-58,Level C
132,,willingdon 07,1063,1,1,11,94,36,-58,Level A
133,,Pixxilingstron 07,1005,2,1,41,92,34,-58,Level A
134,,xlmr 07,1171,1,1,14,87,29,-58,Level A
135,,Freakyflow 05-2,1161,1,1,7,72,14,-58,Level A
136,,ezsanche 07,882,1,1,4,134,75,-59,Level A
137,,calibra 01,1049,1,1,10,99,40,-59,Level A
138,,shipwrecked 05-2,1057,2,2,49,96,37,-59,Level A
139,,BeNumberOne 07,984,7,5,77,93,34,-59,Level C
140,,RandallMR 07,1140,1,1,43,89,30,-59,Level A
