Sort,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
135,,blackknightwa 09,1025,1,1,11,88,36,-52,Level A
136,,thebigmac 09,999,1,1,10,93,40,-53,Level B
137,,bellumnonpax 08,998,2,2,10,83,30,-53,Level A
138,,JooBoo 09,967,4,2,24,101,46,-55,Level C
139,,rseymoure 09,1063,1,0,21,98,43,-55,Level B
140,,woohoooo 09,1072,3,0,2,106,50,-56,Level A
141,,jkkcole 08,1040,5,3,28,99,43,-56,Level A
142,,danielbmarques 09,1093,1,1,14,92,36,-56,Level A
143,,bandicot 09,1045,2,2,3,89,33,-56,Level A
144,,SimSima 09,962,1,1,21,114,57,-57,Level C
145,,ephraimhanks 08,1008,1,1,4,107,50,-57,Level B
146,,Puscifer 09,994,1,0,30,107,50,-57,Level C
147,,smittyohtwohund 08,891,1,0.5,41,101,44,-57,Level B
148,,gforced 09,926,3,2,76,99,42,-57,Level B
149,,RangoBango 09,1002,1,1,26,88,31,-57,Level B
150,,Shridaren 09,1005,1,1,8,82,25,-57,Level A
151,,LzVandy 09,1062,1,1,8,121,63,-58,Level A
152,,Kurkospede 08,1144,1,1,8,108,50,-58,Level B
153,,mariusmattheus 09,1111,5,5,38,100,42,-58,Level B
154,,hamstartype 08,1212,1,1,19,100,42,-58,Level A
155,,ticetice 08,985,1,1,6,91,33,-58,Level A
156,,rsrdjan 09,999,1,1,15,85,27,-58,Level A
157,,ACGD 09,888,2,1,3,127,67,-60,Level A
158,,MCalkins 08,991,3,2,119,103,43,-60,Level A
159,,plumbo 08,964,2,1,47,103,43,-60,Level B
160,,Cofiez 09,1061,2,2,19,97,37,-60,Level A
161,,mrdigital 09,1177,3,3,9,93,33,-60,Level A
162,,gasparegg 09,1052,1,1,31,100,39,-61,Level A
163,,ScottJoplin 08,1113,2,2,42,97,36,-61,Level A
164,,SumitNarayan 08,946,3,2.5,45,106,44,-62,Level B
165,,michaelhu 09,1158,2,2,24,100,37,-63,Level A
166,,madcardinal 08,873,1,1,17,92,29,-63,Level A
167,,BlindOsaridSaris 08,1023,1,0,24,88,25,-63,Level A
168,,IWON 09,1016,1,1,40,112,48,-64,Level B
169,,TonyHappyChess 09,1107,1,1,10,104,40,-64,Level A
170,,SkietSkijf 08,1056,2,2,11,120,55,-65,Level B
171,,MrPresto 08,1021,1,0,28,111,46,-65,Level C
172,,DikkenPierre 09,1039,1,1,9,109,44,-65,Level A
173,,Xbozo 09,1009,2,2,19,124,58,-66,Level B
174,,wilz 09,886,1,1,6,116,50,-66,Level A
175,,buddhajuke 08,1030,1,1,15,106,40,-66,Level A
176,,Scrios 08,1021,1,1,8,104,38,-66,Level A
177,,DeathKnights 09,951,1,1,20,101,35,-66,Level A
178,,BurtForFun 08,1122,1,1,9,99,33,-66,Level A
179,,MalcaReborn 08,867,4,2.5,103,106,38,-68,Level A
180,,Kotimatka 09,943,2,2,22,104,36,-68,Level A
181,,direita 08,1044,2,1,20,103,35,-68,Level A
182,,mjcsjo 08,1043,3,1.5,95,103,35,-68,Level A
183,,lashaberulava 09,1011,2,1,22,91,23,-68,Level A
184,,Kayode 08,943,1,1,19,122,53,-69,Level B
185,,Xreichel 08,1080,1,1,2,119,50,-69,Level A
186,,KimN 08,1154,1,0,10,109,40,-69,Level A
187,,Checkonetwo 08,1094,4,3,13,107,38,-69,Level B
188,,Society 08,1056,1,1,16,107,38,-69,Level A
189,,Rhizy 09,874,2,2,38,106,37,-69,Level A
190,,scygrav 08,939,2,1,21,98,29,-69,Level A
191,,stephenbyers 09,1051,1,1,4,94,25,-69,Level A
192,,DaveMiddled 09,853,2,2,19,112,42,-70,Level A
193,,santai 08,1132,4,2,40,110,40,-70,Level A
194,,Thantos 09,1141,1,0.5,8,108,38,-70,Level A
195,,tramontane 09,1003,1,1,22,106,36,-70,Level A
196,,GaKK 09,996,3,1,41,104,34,-70,Level B
197,,beverlyframingham 09,1095,1,1,15,131,60,-71,Level B
198,,aixrad 09,939,2,2,10,111,40,-71,Level A
199,,CaptainAhab 9-9,826,1,1,7,129,57,-72,Level A
200,,WillByron 09,1128,2,2,29,117,45,-72,Level B
201,,gameplan 09,1143,1,1,9,116,44,-72,Level A
202,,TheTrooper 08,888,1,0.5,50,108,36,-72,Level A
203,,mray 08,1052,3,3,38,118,45,-73,Level B
204,,egidio 09,1040,2,2,9,117,44,-73,Level A
205,,Zleeper 08,1097,2,1,8,86,13,-73,Level A
206,,bcoffield 08,908,1,1,6,124,50,-74,Level A
207,,sterum 09,1124,3,3,54,111,37,-74,Level A
208,,huzar 08,985,7,4,204,109,35,-74,Level A
209,,heychee 08,961,2,1.5,51,109,35,-74,Level A
210,,dadop 09,1254,1,1,6,125,50,-75,Level A
211,,plumbo 09,908,2,1,47,118,43,-75,Level B
212,,JohntheChristian 09,1014,3,2.5,26,110,35,-75,Level A
213,,PlainsDrifter 08,961,2,1,35,109,34,-75,Level A
214,,tdalex 09,1099,3,2,32,106,31,-75,Level A
215,,JabZ 09,927,1,0,20,100,25,-75,Level B
216,,Nicdog 08,1108,1,1,34,117,41,-76,Level B
217,,Ghirlando 08,934,1,0,10,116,40,-76,Level A
218,,sammakkon 09,1029,2,1,27,113,37,-76,Level A
219,,krishnak 09,1128,1,1,51,109,33,-76,Level A
220,,Stonehouse 09,1243,1,1,3,76,0,-76,Level A
221,,PakRT 08,1046,1,1,1,76,0,-76,Level A
222,,notrightnow 09,993,1,1,4,128,50,-78,Level A
223,,brainllama 09,983,2,0,15,118,40,-78,Level A
224,,phuziOn 09,965,1,1,13,117,39,-78,Level A
225,,Livvy 08,1077,2,1.5,6,111,33,-78,Level A
226,,mAsTERpEE 08,939,1,1,12,111,33,-78,Level A
227,,dewie 08,1011,3,0.5,56,115,36,-79,Level A
228,,metallichristian 08,848,2,2,6,112,33,-79,Level A
229,,dukemono 08,1075,1,1,7,93,14,-79,Level A
230,,wildbeal 09,989,1,1,21,128,48,-80,Level B
231,,powerfail 09,994,3,2.5,53,120,40,-80,Level A
232,,bluetac 09,985,1,0,23,115,35,-80,Level A
233,,rafaelpadua 09,985,1,0.5,32,119,38,-81,Level A
234,,Hosed 09,1055,6,4.5,74,116,35,-81,Level A
235,,LAMPON 08,1111,1,0,3,114,33,-81,Level A
236,,thotthescribe 09,1097,1,1,9,114,33,-81,Level A
237,,AndyYuk 09,935,1,1,7,139,57,-82,Level A
238,,VOnegin 08,933,1,1,6,99,17,-82,Level A
239,,louieshao 08,906,3,1,22,124,41,-83,Level B
240,,bigtruckrida 09,1032,1,1,2,134,50,-84,Level A
241,,lazysusan 08,999,1,1,31,123,39,-84,Level A
242,,Turbotank 08,937,1,1,33,117,33,-84,Level A
243,,JaysonE 09,1052,1,1,31,133,48,-85,Level C
244,,Uncrowned 08,992,1,0,18,129,44,-85,Level A
245,,Shatranzi 08,988,1,1,36,124,39,-85,Level A
246,,milehicheckmater 08,994,1,1,9,107,22,-85,Level A
247,,themoor 08,1103,2,2,13,124,38,-86,Level A
248,,Koerdis 09,1095,1,1,19,123,37,-86,Level A
249,,Buildingwings 09,1118,2,2,16,117,31,-86,Level A
250,,deermaster 08,1159,1,1,6,103,17,-86,Level A
251,,Marcvz 09,1168,2,2,15,134,47,-87,Level B
252,,skix 08,1125,1,0,32,131,44,-87,Level C
253,,geodezu 09,980,2,1.5,45,125,38,-87,Level A
254,,Naym 09,863,2,1,68,118,31,-87,Level A
255,,kyleelhs 08,946,1,1,3,87,0,-87,Level A
256,,Birgie 9-9,822,1,1,10,118,30,-88,Level B
257,,madPhysicist 08,1150,1,1,10,108,20,-88,Level A
258,,sanavabitch 08,1049,1,1,25,121,32,-89,Level A
259,,mathspriyanka 09,1060,1,0,28,121,32,-89,Level A
260,,Nifteind 09,979,1,0.5,13,120,31,-89,Level B
261,,Psao 09,954,1,1,7,103,14,-89,Level A
262,,YVN 08,1039,1,0,9,100,11,-89,Level A
263,,jubilado 09,874,1,1,13,129,39,-90,Level A
264,,ziglag 09,1184,2,2,14,119,29,-90,Level A
265,,FFDunn 09,1051,1,1,14,119,29,-90,Level A
266,,Kyobutungi 08,1072,1,1,27,116,26,-90,Level A
267,,azertyman 08,1127,1,1,25,135,44,-91,Level A
268,,DHamm 08,1051,12,6.5,176,125,34,-91,Level A
269,,hedgardo 09,1052,6,5.5,24,124,33,-91,Level A
270,,jabziii 09,1087,4,2,15,124,33,-91,Level A
271,,mbranimir 08,966,4,2,40,121,30,-91,Level A
272,,maramures 09,1010,3,3,44,121,30,-91,Level A
273,,RationalSkeptik 09,991,2,2,7,120,29,-91,Level A
274,,kebax 09,1128,2,2,8,104,13,-91,Level A
275,,bangs 08,1035,4,3.5,104,129,37,-92,Level A
276,,ogbornd 08,1115,1,1,18,125,33,-92,Level A
277,,Dreamlight 09,1048,1,1,9,125,33,-92,Level A
278,,lesane 08,1068,1,1,13,123,31,-92,Level A
279,,WoodyMac 09,893,2,1,16,117,25,-92,Level A
280,,SmashBrosBrawl 09,1112,2,2,16,117,25,-92,Level A
281,,FMH 09,1115,1,1,10,102,10,-92,Level A
282,,TastyTreatForKids 08,888,1,1,25,137,44,-93,Level B
283,,ChrisBeginner 08,906,8,3.5,189,134,41,-93,Level A
284,,seanwickham 08,881,6,3,62,128,35,-93,Level A
285,,Akio 09,967,4,1.5,79,127,34,-93,Level B
286,,subramanyamn 08,928,1,1,5,113,20,-93,Level A
287,,robocoop 09,1048,1,1,6,110,17,-93,Level A
288,,Afjaks 08,990,3,3,10,124,30,-94,Level A
289,,bhAmco 08,890,1,0,5,114,20,-94,Level A
290,,tedmartini 08,967,1,0,4,94,0,-94,Level B
291,,maggiedog 09,1057,1,1,4,145,50,-95,Level A
292,,Gabimo 08,931,1,1,13,141,46,-95,Level B
293,,cazzimeo 08,968,1,0,32,136,41,-95,Level A
294,,jokersplay 08,1058,1,0,10,166,70,-96,Level B
295,,Ekwalyzer 08,1076,2,1,9,152,56,-96,Level A
296,,teihlard 09,1041,1,1,5,136,40,-96,Level A
297,,Alphacentury 09,1155,4,3.5,18,135,39,-96,Level A
298,,Raicore 08,987,1,1,30,133,37,-96,Level B
299,,ZDIP 08,928,2,0,16,121,25,-96,Level A
300,,SunRaphi 08,984,1,1,9,118,22,-96,Level A
301,,treezen 09,998,3,0.5,89,127,30,-97,Level A
302,,melmothX 08,989,2,2,40,124,27,-97,Level A
303,,nelb 08,959,3,2,76,123,26,-97,Level A
304,,HerveRenault 08,1025,2,1,29,139,41,-98,Level A
305,,oldchessbook 08,1006,5,5,114,139,41,-98,Level A
306,,Operatics 09,1071,3,3,20,138,40,-98,Level A
307,,OrionsDog 09,927,1,1,10,108,10,-98,Level A
308,,Phye 09,1008,3,2,43,139,40,-99,Level A
309,,KaiserPawn 08,941,3,1,56,137,38,-99,Level A
310,,Caledonian 09,817,1,0,16,138,38,-100,Level B
311,,hmmy 08,1097,1,1,19,137,37,-100,Level A
312,,mupdegrove 09,1093,2,2,16,131,31,-100,Level A
313,,achieve 09,1067,1,1,10,141,40,-101,Level A
314,,noncsi 08,919,7,4.5,164,136,35,-101,Level B
315,,karpovasparov 09,1013,5,1,77,133,32,-101,Level A
316,,DJJDev 08,1097,1,1,1,101,0,-101,Level A
317,,Atlante 09,1026,1,1,1,101,0,-101,Level A
318,,drinkwater 08,1013,3,1,34,141,38,-103,Level A
319,,Jackiw 08,1090,2,1,69,141,38,-103,Level A
320,,sneakypawn 08,900,1,1,26,134,31,-103,Level A
321,,nnoah 08,1053,5,4.5,73,133,30,-103,Level A
322,,luizaquino 08,1012,1,1,5,123,20,-103,Level B
323,,Sinickas 09,973,1,0,16,122,19,-103,Level B
324,,adamfg 08,861,1,1,12,111,8,-103,Level A
325,,samoancharger 09,1081,13,13,144,146,42,-104,Level B
326,,nabisko 09,1051,1,1,11,140,36,-104,Level A
327,,karilo 08,1124,1,1,44,138,34,-104,Level A
328,,DaydreamXXI 09,977,2,0,37,128,24,-104,Level A
329,,Krikke 08,995,9,7,120,144,39,-105,Level A
330,,louiswei 08,1008,10,5,150,137,32,-105,Level A
331,,Gleelee 09,1208,1,1,42,136,31,-105,Level A
332,,finestcuts 09,950,1,0,19,131,26,-105,Level B
333,,catfu 09,1086,5,5,68,147,41,-106,Level A
334,,jpirie 09,1059,3,3,17,141,35,-106,Level A
335,,booxey 08,1116,1,1,23,141,35,-106,Level A
336,,CreEighteenDrama 09,1105,2,1,4,157,50,-107,Level A
337,,schnookLberry 09,936,1,0,10,147,40,-107,Level A
338,,SundanceKidIN 09,1059,2,2,14,143,36,-107,Level A
339,,chagf 09,994,10,8.5,67,140,33,-107,Level A
340,,Zouzounitsa 09,1248,1,1,3,107,0,-107,Level A
341,,LeyZ 09,1013,3,1,29,149,41,-108,Level B
342,,pumpbuster 08,1148,10,6,145,145,37,-108,Level A
343,,lacceroswaldo 09,1060,1,1,25,140,32,-108,Level B
344,,JabZ 08,992,12,6,96,145,36,-109,Level A
345,,hailu 09,939,7,5,98,144,35,-109,Level B
346,,xSnakex 09,843,1,0,12,142,33,-109,Level A
347,,GMenBigBlue 09,1015,8,1,42,140,31,-109,Level A
348,,bluepen 09,997,2,0,37,140,30,-110,Level A
349,,SeanMohsin 09,889,1,0,14,131,21,-110,Level A
350,,Drewan 09,810,4,2,22,152,41,-111,Level A
351,,StanGetz 08,1074,1,1,38,151,40,-111,Level A
352,,sisohristov 09,1127,1,1,5,151,40,-111,Level A
353,,jinbu 08,867,5,2,74,141,30,-111,Level A
354,,SassySasha 09,1039,5,5,34,140,29,-111,Level A
355,,Temppeliaukio 08,1019,15,7,184,139,28,-111,Level A
356,,Mladenovic 08,977,1,1,13,151,39,-112,Level A
357,,owzat 08,836,2,0,64,143,31,-112,Level A
358,,bigdawgdude 08,1043,2,2,7,141,29,-112,Level A
359,,giospoto 08,1036,1,0,6,163,50,-113,Level A
360,,jiamenguk 09,1115,1,1,5,153,40,-113,Level A
361,,breachy 08,932,1,0,23,152,39,-113,Level A
362,,henrikx 08,1027,1,1,13,144,31,-113,Level A
363,,uberkind 08,977,3,3,53,141,28,-113,Level A
364,,badsilva 08,1010,1,1,18,141,28,-113,Level A
365,,Aydo 08,1081,2,1,11,131,18,-113,Level B
366,,sakarauka 08,1072,7,4,61,155,41,-114,Level B
367,,jywhe 08,967,1,1,10,144,30,-114,Level A
368,,kampycss 08,978,1,1,12,139,25,-114,Level A
369,,Ravacholsixneuf 09,991,1,1,14,151,36,-115,Level A
370,,JEFFMHOW 09,945,4,3,73,149,34,-115,Level A
371,,Derbentli 08,933,8,5,45,148,33,-115,Level B
372,,vaportrail 08,1131,1,0,15,148,33,-115,Level A
373,,sandiren 09,1057,3,3,34,144,29,-115,Level A
374,,texasroots 09,967,1,1,25,139,24,-115,Level A
375,,kiwa 09,993,2,2,14,159,43,-116,Level A
376,,richsilver 09,1105,2,1,26,158,42,-116,Level A
377,,shaaaft 08,953,2,1,8,154,38,-116,Level A
378,,thestephanea 08,1096,3,3,27,138,22,-116,Level A
379,,DREZIO 09,876,1,1,29,152,35,-117,Level B
380,,dafics 09,1099,3,3,25,133,16,-117,Level A
381,,biplobibeginner 09,968,1,0,12,125,8,-117,Level A
382,,Tribune 08,956,2,2,31,157,39,-118,Level A
383,,SGTMAJUSMC 09,898,6,5,43,155,37,-118,Level A
384,,kiper 08,974,1,1,17,153,35,-118,Level A
385,,JAYDENBLANE 09,1119,11,11,102,149,31,-118,Level B
386,,GauiSig 08,1023,1,0,23,148,30,-118,Level A
387,,pets 09,1062,1,1,37,140,22,-118,Level A
388,,vannman 08,1104,2,2,36,158,39,-119,Level A
389,,AureA 09,1108,6,3,91,151,32,-119,Level B
390,,ScottieD 08,983,2,1,5,160,40,-120,Level A
391,,lynnyx 08,830,14,8.5,219,156,36,-120,Level A
392,,jcizzle 09,1096,2,2,9,153,33,-120,Level A
393,,karpovasparov 08,934,2,2,40,145,25,-120,Level A
394,,NobleBlade 08,947,1,0,10,140,20,-120,Level A
395,,JBChessPontchat 08,1006,3,1,91,152,31,-121,Level A
396,,paulfallet 08,873,1,0,25,149,28,-121,Level A
397,,jasperpalmer 08,1001,1,1,4,146,25,-121,Level A
398,,kreukels 08,977,3,1,42,145,24,-121,Level A
399,,happyelk 09,1066,2,2,38,145,24,-121,Level A
400,,ChrisAtkinson 08,940,1,1,17,151,29,-122,Level A
401,,Flupkes 09,1101,1,1,12,165,42,-123,Level A
402,,obamaworld 09,1047,2,0,8,161,38,-123,Level A
403,,NRking 09,1042,1,1,14,159,36,-123,Level A
404,,Waggaristo 09,1070,1,0,30,153,30,-123,Level A
405,,paulgrahi 08,1043,2,1,20,148,25,-123,Level A
406,,CaptainWooly 08,966,1,1,16,148,25,-123,Level A
407,,mflood 08,967,1,1,32,168,44,-124,Level A
408,,PieceMover 09,973,8,7,52,162,37,-125,Level A
409,,psychotronic 08,959,1,0,23,160,35,-125,Level A
410,,Noller 08,1126,1,0,12,150,25,-125,Level A
411,,procussionaire 09,1061,1,1,11,181,55,-126,Level B
412,,robbienorma 09,1080,2,1.5,29,167,41,-126,Level A
413,,jumpinggreenfrog 09,909,5,3,73,163,37,-126,Level A
414,,Philipck 08,954,2,1,47,162,36,-126,Level A
415,,vpma 09,845,3,2,44,160,34,-126,Level B
416,,ralexander 08,912,5,3,76,158,32,-126,Level A
417,,nirt 08,1144,1,0,13,157,31,-126,Level A
418,,ChessOwnU 09,884,5,2,21,155,29,-126,Level A
419,,stota 09,983,19,6.5,404,159,32,-127,Level A
420,,Cgrittz 09,1161,2,1.5,20,157,30,-127,Level A
421,,protoz 09,953,2,2,21,156,29,-127,Level A
422,,RichardJohnson 09,1058,14,13.5,123,154,27,-127,Level A
423,,Melvill 09,981,2,0,30,154,27,-127,Level A
424,,Nielow 08,1102,1,1,16,178,50,-128,Level B
425,,DeanMartin 09,1125,1,1,9,172,44,-128,Level B
426,,SexyTime 09,1084,5,4,18,161,33,-128,Level B
427,,ifalou 08,832,1,1,33,161,33,-128,Level A
428,,JohntheChristian 08,846,1,0,34,155,27,-128,Level B
429,,OxoCube 09,1066,1,1,40,153,25,-128,Level A
430,,charlestacda 09,1026,1,1,14,149,21,-128,Level A
431,,Tyzore 09,937,2,0.5,37,147,19,-128,Level A
432,,cesacsr 09,921,1,1,19,171,42,-129,Level A
433,,paderboots 09,923,10,5.5,97,167,38,-129,Level A
434,,drunkenmonkey 08,1004,1,1,20,164,35,-129,Level A
435,,Androidkenny 08,1032,1,0,11,156,27,-129,Level A
436,,DoctorTommy 08,960,1,1,5,170,40,-130,Level A
437,,gilandrew 09,898,2,0.5,57,155,25,-130,Level A
438,,indbug 09,956,2,0.5,36,170,39,-131,Level C
439,,sevenohnine 08,1069,3,3,43,164,33,-131,Level A
440,,elpascoe 09,963,4,3,25,168,36,-132,Level A
441,,thebrickwall 08,1004,19,10,259,170,37,-133,Level B
442,,paperchasdvincent 08,964,8,5.5,131,166,33,-133,Level A
443,,AnotherPawn 08,1170,1,1,7,147,14,-133,Level A
444,,OSZCAR 09,1003,3,2.5,68,172,37,-135,Level A
445,,robertpmntr 09,955,9,5,193,165,30,-135,Level A
446,,Stoc 08,927,1,1,1,135,0,-135,Level A
447,,Intactive 08,994,6,1,86,173,37,-136,Level A
448,,lpalossy 08,955,2,2,25,172,36,-136,Level B
449,,zEviscerator 09,955,1,1,22,172,36,-136,Level A
450,,Lucanus 08,1033,3,2,74,170,34,-136,Level A
451,,MXseptimus 08,882,6,3.5,81,166,30,-136,Level A
