Sort,Fed,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
1,,RickHfstz 09,991,1,0,7,20,86,66,Level A
2,,nokto 09,1071,1,1,4,9,75,66,Level A
3,,asewasew 09,1081,1,1,5,15,80,65,Level A
4,,Bodegroes 08,1016,16,4,5,9,60,51,Level A
5,,yuyoyu 09,1001,1,1,21,13,62,49,Level C
6,,franzmatthew 09,1146,1,1,3,19,67,48,Level A
7,,Ribereno 09,1167,2,2,3,21,67,46,Level A
8,,MrWannaB 09,942,1,1,6,30,67,37,Level A
9,,LarryLido 08,1023,1,0,4,14,50,36,Level A
10,,psychodiez 08,1034,1,1,8,42,75,33,Level A
11,,oyvindhh 08,956,1,1,3,35,67,32,Level A
12,,yoyojim 09,1043,1,1,9,25,56,31,Level A
13,,BlindOsaridSaris 09,973,1,1,3,37,67,30,Level A
14,,wbartlett 09,1059,1,1,4,49,75,26,Level A
15,,TheMightyOne 08,916,2,2,11,47,73,26,Level B
16,,pawndering 08,1079,1,1,2,24,50,26,Level A
17,,VPD 09,1015,1,0,2,27,50,23,Level A
18,,kylekyle 09,1033,2,2,4,53,75,22,Level A
19,,LUPULEAC 09,984,1,1,6,45,67,22,Level A
20,,Rules 08,1066,1,1,10,31,50,19,Level B
21,,remotoots 09,970,1,1,9,38,56,18,Level A
22,,MuhammadNathan 09,1045,1,1,4,32,50,18,Level A
23,,TiredofLosing 08,1013,1,1,29,30,48,18,Level C
24,,MikeTheMaverick 09,1039,1,1,5,63,80,17,Level A
25,,adnjrw 09,811,1,0,10,55,70,15,Level B
26,,preux 08,935,1,1,13,39,54,15,Level B
27,,Yumster 09,922,1,1,7,60,71,11,Level A
28,,Belane 08,1043,1,1,16,45,56,11,Level B
29,,ItsMeOne 08,944,1,0,2,39,50,11,Level A
30,,slaferry 09,1170,1,1,2,39,50,11,Level A
31,,phactpatterns 08,1021,1,1,3,57,67,10,Level B
32,,OBAMAnyofacebitch 09,1131,1,1,6,41,50,9,Level A
33,,Mikemm 09,1040,3,3,6,59,67,8,Level A
34,,Tremeoc 08,1121,1,1,6,62,67,5,Level A
35,,EverythingIsTaken 08,1001,1,1,8,58,63,5,Level A
36,,CharlesCornner 08,1072,1,1,9,40,44,4,Level A
37,,TheRedHood 08,1141,1,1,7,39,43,4,Level A
38,,Jacknottheripper 08,1117,2,1,13,43,46,3,Level B
39,,wangzhewudi 08,1065,1,1,9,56,56,0,Level B
40,,kakenrni 09,977,1,1,4,50,50,0,Level B
41,,zaruda 08,976,1,0.5,50,18,16,-2,Level D
42,,musick 09,1112,2,1,4,53,50,-3,Level A
43,,drunkindurham 09,1264,1,1,9,48,44,-4,Level A
44,,SameerMalik 09,1047,1,1,8,55,50,-5,Level A
45,,Acdtume 09,1222,1,1,12,47,42,-5,Level B
46,,jpjcalculator 09,1006,2,1,8,45,38,-7,Level A
47,,josephkain 08,1026,1,1,6,40,33,-7,Level A
48,,Kloth 09,987,3,3,39,62,54,-8,Level C
49,,TRADICIONAL 09,1121,1,1,10,58,50,-8,Level B
50,,GodsWrath 09,1006,1,1,12,69,58,-11,Level B
51,,woodpuscher 09,1064,2,2,12,54,42,-12,Level A
52,,acmauroe 09,909,1,1,23,51,39,-12,Level B
53,,nibbio 08,1036,1,1,8,77,63,-14,Level A
54,,emorej 08,995,2,2,36,56,42,-14,Level B
55,,theridge 08,932,1,1,4,65,50,-15,Level A
56,,krugarius 08,892,1,1,8,65,50,-15,Level A
57,,Oscoap 08,979,1,1,9,59,44,-15,Level B
58,,attilanino 08,959,1,1,12,75,58,-17,Level B
59,,MartyMcFlyyy 09,1072,1,0,9,61,44,-17,Level A
60,,Bottledwater 08,1132,2,1.5,48,53,35,-18,Level A
61,,redtube 08,1073,1,1,18,50,28,-22,Level B
62,,gilandrew 9-9,835,1,1,2,22,0,-22,Level A
63,,darkkknight 08,1080,1,1,4,98,75,-23,Level A
64,,Miggidy 09,1158,1,1,8,86,63,-23,Level A
65,,ValerianSimon 08,1155,1,1,9,79,56,-23,Level A
66,,lhoward 09,1075,2,2,24,56,33,-23,Level B
67,,JTKhouw 09,949,1,1,9,80,56,-24,Level A
68,,dylanfanatic 08,1066,2,2,11,60,36,-24,Level B
69,,homiemackdaddy 09,1074,1,1,1,24,0,-24,Level A
70,,Sebbel 09,921,5,4,83,68,43,-25,Level B
71,,AndyKG 08,924,1,1,15,52,27,-25,Level B
72,,genekhayyam 09,1082,2,1,6,76,50,-26,Level A
73,,Deltaprism 09,1059,5,4,52,85,58,-27,Level D
74,,ddurden 08,1149,1,1,7,84,57,-27,Level A
75,,Sebbel 08,839,4,3,60,80,52,-28,Level C
76,,markssixtyfour 08,1105,8,8,43,78,49,-29,Level B
77,,KoalieAwe 09,1009,1,0,25,65,36,-29,Level B
78,,staljin 09,971,2,1.5,33,88,58,-30,Level C
79,,BadfishToo 09,874,3,3,16,80,50,-30,Level B
80,,spiritswords 09,970,3,2,82,78,48,-30,Level C
81,,ohaighain 09,1021,1,1,12,63,33,-30,Level A
82,,zenmate 08,1056,1,0,5,50,20,-30,Level A
83,,byronjmilhall 09,980,1,1,12,64,33,-31,Level B
84,,StarAsia 09,982,1,1,21,64,33,-31,Level A
85,,Girdot 08,993,1,1,16,56,25,-31,Level A
86,,privateschultz 08,1096,1,0.5,43,76,44,-32,Level B
87,,SunRaphi 09,995,1,1,25,76,44,-32,Level A
88,,yaroshan 09,1014,7,4,11,68,36,-32,Level A
89,,sambang 08,1041,1,1,6,65,33,-32,Level A
90,,lepomis 09,953,1,1,22,55,23,-32,Level B
91,,drinkingwater 09,1029,1,1,28,76,43,-33,Level B
92,,MikiD 09,961,2,2,13,71,38,-33,Level A
93,,fmacmpua 09,866,5,5,1,33,0,-33,Level A
94,,josoma 08,1048,2,2,10,84,50,-34,Level B
95,,Giully 09,1047,3,3,20,79,45,-34,Level B
96,,timeToLive 09,1077,1,1,14,56,21,-35,Level A
97,,AlfredJ 09,1032,3,3,29,84,48,-36,Level B
98,,alderius 08,1051,1,0,6,69,33,-36,Level A
99,,Nebri 09,919,4,4,29,96,59,-37,Level C
100,,mbbane 08,949,2,1,15,77,40,-37,Level A
101,,JohnWinthrop 09,1172,1,1,13,69,31,-38,Level A
102,,luoyun 09,864,2,0,43,81,42,-39,Level A
103,,JHLD 09,1050,5,4.5,36,87,47,-40,Level B
104,,munon 09,993,1,1,44,76,36,-40,Level A
105,,mattbarber 08,1054,1,1,3,74,33,-41,Level A
106,,TylerTheWimp 09,910,1,1,20,82,40,-42,Level A
107,,auglaize 09,967,2,2,15,75,33,-42,Level A
108,,zuugor 09,1062,2,2,12,85,42,-43,Level A
109,,topherpalmtree 09,900,5,2,36,88,44,-44,Level B
110,,viaaurea 08,915,1,1,27,85,41,-44,Level A
111,,karcal 08,1019,1,1,5,84,40,-44,Level A
112,,dickdale 08,982,1,1,18,77,33,-44,Level A
113,,Zangzu 09,1238,1,1,1,44,0,-44,Level A
114,,BranimirM 08,1072,1,1,10,95,50,-45,Level B
115,,Borgohain 09,1112,1,0,11,81,36,-45,Level A
116,,pedrosc 08,991,3,3,60,78,33,-45,Level A
117,,haraldr 08,1053,2,2,11,111,64,-47,Level B
118,,HeideUndPeter 09,989,1,1,2,97,50,-47,Level A
119,,grsshppr 08,854,1,1,31,86,39,-47,Level C
120,,Vosman 09,1197,2,1.5,10,77,30,-47,Level A
121,,Ickis 09,1007,1,1,23,92,44,-48,Level A
122,,Shurka 09,1167,1,1,13,103,54,-49,Level B
123,,sammyblade 09,1031,1,1,10,99,50,-49,Level B
124,,ArtexHarimau 08,1032,1,1,18,93,44,-49,Level B
125,,churrcuz 09,1015,1,1,54,90,41,-49,Level B
126,,Imbolt 08,1153,1,1,33,88,39,-49,Level B
127,,FranckFabozi 08,1146,2,2,22,81,32,-49,Level A
128,,arcticnegro 08,1080,1,0,6,117,67,-50,Level A
129,,smoliostroda 09,954,1,1,2,100,50,-50,Level A
130,,vannman 09,1093,2,2,5,90,40,-50,Level A
131,,PBLegion 08,919,1,1,8,75,25,-50,Level A
132,,thewingedweasel 08,1010,1,0,17,92,41,-51,Level A
133,,LisbonNightTrain 09,967,2,2,45,84,33,-51,Level A
134,,wumblebumble 08,1015,1,1,5,112,60,-52,Level A
