Sort,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,Analysis 
427,FJB 2005.03.23,1011,14,11.5,260,165,30,-135,Level A
375,Knighter 2000.02.02,959,11,4,225,157,32,-125,Level A
809,iveyjr 2005.03.23,886,8,2,159,253,25,-228,Level A
719,DazedDj 2003.12.16,946,7,1,136,223,26,-197,Level A
748,Mxkuma 2005.03.23,938,6,0.5,133,232,23,-209,Level A
327,fboccardo 2005.04.18,976,5,1,126,144,32,-112,Level A
499,fboccardo 2005.04.20,935,10,4,118,186,35,-151,Level A
538,coloradorover 2002.12.26,968,7,0,118,190,30,-160,Level A
323,garethcash 2005.04.18,1003,4,3,117,143,33,-110,Level A
270,BoardBoy 2003.12.16,1039,7,6,116,133,37,-96,Level A
259,IIpawnII 2000.02.02,750,5,4,112,127,34,-93,Level A
908,iveyjr 2005.03.22,920,8,1,103,276,15,-261,Level A
492,FJB 2005.03.22,951,9,8,95,180,31,-149,Level A
936,jbpuffer 2005.07.30,848,5,0,95,285,18,-267,Level A
440,gottago 2006.03.01,1136,4,4,91,167,30,-137,Level A
364,Kyobutungi 2005.06.14,1130,1,0.5,89,148,26,-122,Level A
128,Bryceman 2003.04.13,1165,1,0,88,94,43,-51,Level A
468,FJB 2005.03.21,870,8,6.5,88,169,25,-144,Level B
203,pezzissimo 2005.06.14,862,1,0.5,87,107,30,-77,Level A
532,iveyjr 2005.03.21,988,7,1.5,87,189,30,-159,Level B
133,Fitzakarle 2003.04.13,742,1,1,86,78,26,-52,Level A
652,Tarish 2006.03.01,755,3,0,85,208,27,-181,Level A
830,obao 2000.03.28,785,2,0,80,262,27,-235,Level A
402,MischiMaestro 2005.04.20,1045,6,4,76,164,34,-130,Level B
817,Knighter 2000.01.15,899,2,1,72,244,15,-229,Level A
450,FJB 2005.03.17,859,5,1.5,70,164,24,-140,Level A
177,supertintin 2004.07.27,1229,1,0.5,69,117,49,-68,Level C
322,Memnochblue 2006.04.22,873,3,0.5,68,144,34,-110,Level A
572,spudthedud 2006.02.14,831,2,2,67,190,24,-166,Level A
681,NathanBlair 2005.07.12,1080,4,2.5,67,227,39,-188,Level A
683,nspirit 2004.07.12,1021,3,0.5,67,224,36,-188,Level A
531,ShawnB 2006.02.14,1126,2,0,66,191,32,-159,Level A
151,ferking 2006.04.22,1119,3,2.5,65,97,37,-60,Level A
413,mcgrail 2006.03.05,832,7,0,64,164,31,-133,Level A
907,southwestco 2004.07.05,990,4,0,62,277,16,-261,Level A
305,oubobcat 2006.12.08,841,3,2,61,135,30,-105,Level A
487,mcgrail 2006.03.01,935,3,0.5,61,171,23,-148,Level A
703,Memnochblue 2006.05.26,850,4,1,61,219,26,-193,Level A
467,noogit 2005.07.30,1007,3,3,60,169,25,-144,Level A
951,HEARTLESSWIZARD 2005.06.19,875,1,1,59,301,27,-274,Level A
731,Memnochblue 2006.05.31,841,5,2,58,235,31,-204,Level A
1028,Crashinator 2008.11.21,843,2,0.5,58,365,40,-325,Level A
707,FJB 2005.03.14,840,5,2,57,222,28,-194,Level A
1048,CashCow 2001.10.10,850,4,1,57,365,25,-340,Level A
540,Truelan 2006.10.28,1004,2,0,56,187,27,-160,Level A
593,ferking 2006.05.31,1111,4,3,56,204,34,-170,Level A
172,Nassor 2005.12.23,950,2,1,55,106,40,-66,Level B
219,rnajerac 2005.12.23,951,2,1,55,127,45,-82,Level B
284,Playlight 2000.03.28,1142,1,1,55,144,44,-100,Level A
629,alexcardoso 2004.07.05,938,4,4,55,200,24,-176,Level A
650,fboccardo 2005.04.22,985,2,0,55,212,31,-181,Level A
312,SamuelJunior 2006.10.28,960,2,2,54,140,33,-107,Level A
381,KnightLightning 2006.09.06,956,2,0.5,54,156,30,-126,Level A
191,southwestco 2004.07.27,759,1,0.5,52,98,25,-73,Level C
196,jessmoll 2005.08.14,1009,1,1,52,119,44,-75,Level A
349,HEARTLESSWIZARD 2005.07.04,897,2,0,52,157,40,-117,Level A
222,marcuscole 2006.06.30,1003,2,1.5,51,120,37,-83,Level B
627,Schuerer 2005.06.19,1067,1,0,51,204,28,-176,Level A
827,dahuigou 2008.11.21,685,2,1.5,51,268,33,-235,Level A
245,SaltzLynnMa 2006.05.03,1107,1,0.5,50,135,44,-91,Level A
319,garethcash 2005.04.22,994,2,2,50,135,26,-109,Level A
422,mcgrail 2006.03.02,818,7,0,50,154,20,-134,Level A
553,Halfman 2006.01.20,887,2,1,50,195,32,-163,Level A
586,Knighter 2000.01.26,911,1,0,50,190,22,-168,Level A
794,TeddySauyet 2006.07.26,978,3,2,50,251,28,-223,Level A
148,shipwrecked 2005.07.04,1057,2,2,49,96,37,-59,Level A
247,sammyCmtww 2004.07.12,908,3,2,49,132,41,-91,Level A
227,LOZO 2005.08.14,987,1,0,48,122,38,-84,Level A
332,gnutz 2000.01.26,855,1,1,48,140,27,-113,Level A
345,olinebeefs 2006.01.03,1089,2,0,48,149,33,-116,Level A
661,Triplea 2003.03.29,909,6,5.5,48,205,23,-182,Level A
834,KJett 2003.03.06,856,1,0,48,265,29,-236,Level A
160,Dkling 2006.06.30,952,2,0.5,47,108,45,-63,Level B
306,JasperGreene 2006.03.01,1087,1,0.5,47,131,26,-105,Level A
325,Funditor 2006.10.04,907,2,0,47,148,36,-112,Level A
657,honte 2005.02.11,940,1,0,47,220,38,-182,Level A
268,marcuscole 2006.05.03,884,1,0.5,46,128,33,-95,Level A
386,unclebaal 2005.09.09,1081,1,0,45,158,31,-127,Level B
460,HEARTLESSWIZARD 2004.06.17,917,1,0,45,160,18,-142,Level A
600,Agee 2003.03.06,1020,1,1,45,198,27,-171,Level A
659,basitian 2005.03.14,1171,2,0,45,209,27,-182,Level A
167,dolphinsfan 2006.09.06,973,1,0.5,44,103,39,-64,Level A
281,tujhbq 2006.10.04,994,1,1,44,131,32,-99,Level A
383,petergriffin 2006.01.20,873,2,1,44,146,20,-126,Level A
486,danlei 2006.04.09,891,1,0.5,44,173,25,-148,Level A
493,Bossdog 2006.04.09,900,1,0.5,44,172,23,-149,Level A
515,schnootzer 2006.03.29,837,7,4,44,185,30,-155,Level A
545,Dkling 2006.06.29,987,3,1,44,186,25,-161,Level A
564,rickx 2005.02.11,1054,1,1,44,194,30,-164,Level A
878,supriyasodhi 2006.06.12,922,3,0,44,276,23,-253,Level A
88,Halfman 2006.01.03,876,2,2,43,70,37,-33,Level A
155,rochon 2005.09.09,909,1,1,43,105,44,-61,Level B
250,Guuyver 2002.05.17,817,1,0,43,114,23,-91,Level A
273,owlman 2002.05.17,1039,1,1,43,110,14,-96,Level A
352,hotwheela 2006.12.18,911,1,0,43,143,26,-117,Level A
420,HEARTLESSWIZARD 2005.07.12,861,2,1,43,162,28,-134,Level A
529,ferking 2006.05.26,1074,2,2,43,196,37,-159,Level A
635,bigrig 2005.09.04,985,1,0,43,207,28,-179,Level A
640,marcuscole 2006.06.29,994,3,2,43,213,33,-180,Level A
903,Crashinator 2008.11.28,789,4,2.5,43,283,23,-260,Level A
932,amajouity 2002.04.02,869,2,1,43,285,19,-266,Level A
978,dahuigou 2008.11.28,794,4,1.5,43,316,26,-290,Level A
85,Tizko 2006.08.05,887,1,1,42,73,43,-30,Level A
173,abcc 2006.08.05,1083,1,0,42,102,36,-66,Level A
642,TeddySauyet 2006.06.26,999,2,2,42,204,24,-180,Level A
789,Gaby 2001.07.30,1002,3,3,42,239,17,-222,Level A
168,bigouden 2006.12.09,1013,1,0,41,107,42,-65,Level A
192,merka 2005.01.18,810,1,0,41,93,20,-73,Level A
378,Halfman 2006.01.07,897,2,0,41,149,24,-125,Level A
418,Malca 2006.10.26,976,1,1,41,166,32,-134,Level A
539,spudthedud 2006.02.12,874,2,0,41,189,29,-160,Level A
605,Triplea 2003.01.25,822,3,2,41,201,29,-172,Level A
837,hungerartist 2006.06.12,1076,3,3,41,256,19,-237,Level A
843,ferking 2006.05.23,1089,1,0,41,263,24,-239,Level A
856,dumpyshubby 2003.09.22,984,1,0.5,41,272,29,-243,Level A
863,kingmicah 2002.04.02,1112,2,1,41,273,27,-246,Level A
65,pajac 2005.01.18,1101,1,1,40,56,40,-16,Level A
195,yihan 2002.12.26,948,2,2,40,106,32,-74,Level A
239,Silicate 2005.09.04,964,1,1,40,132,43,-89,Level A
311,iveyjr 2005.04.23,860,2,1,40,142,35,-107,Level A
673,SamuelJunior 2006.10.26,982,1,0,40,199,15,-184,Level A
260,OboeDeity 2005.04.23,929,2,1,39,124,31,-93,Level A
726,reddawgdead 2006.07.26,936,3,1,39,233,31,-202,Level A
823,KJett 2003.04.20,870,2,0,39,250,18,-232,Level A
100,GolfBob 2004.06.17,950,1,1,38,67,29,-38,Level A
115,uvrays 2006.12.09,952,1,1,38,82,37,-45,Level A
252,NRking 2006.12.08,1138,2,1,38,131,39,-92,Level A
952,MartyL 2005.06.21,932,4,2,38,290,16,-274,Level A
965,jpiscool 2006.12.22,1141,1,1,38,307,24,-283,Level A
1018,hotwheela 2006.12.22,810,1,0,38,334,18,-316,Level A
86,iascrazyorioles 2006.12.18,921,1,1,37,61,30,-31,Level A
118,laconique 2000.01.15,1019,1,1,37,82,35,-47,Level A
206,SergB 2006.09.26,1153,1,1,37,124,46,-78,Level B
339,Auerweck 2001.01.21,850,1,1,37,138,24,-114,Level A
670,MartyL 2005.07.02,958,2,1,37,211,27,-184,Level A
679,KJett 2003.09.22,894,1,0.5,37,218,32,-186,Level A
940,cuzzer 2005.11.09,1067,1,0,37,291,22,-269,Level A
207,uvrays 2006.09.26,806,2,1,36,114,36,-78,Level A
393,IOMatrix 2001.01.21,1137,1,0,36,162,33,-129,Level A
522,HEARTLESSWIZARD 2004.12.23,827,1,0,36,184,28,-156,Level A
525,intelinside 2005.12.03,1027,1,0,36,199,42,-157,Level A
801,KJett 2003.01.25,1003,1,0,36,250,25,-225,Level A
866,kilkennycat 2005.11.09,904,1,1,36,270,22,-248,Level A
185,GolfBob 2006.05.23,892,1,1,35,113,43,-70,Level A
355,Knighter 2000.01.27,903,2,2,35,141,23,-118,Level A
419,twno 2004.05.12,876,3,2,35,163,29,-134,Level A
442,garethcash 2005.04.20,1033,3,1,35,172,34,-138,Level A
455,HEARTLESSWIZARD 2005.12.03,913,1,1,35,164,23,-141,Level A
461,schnootzer 2006.03.28,1108,6,0,35,186,43,-143,Level A
508,coloradorover 2003.01.22,1032,2,1,35,173,20,-153,Level A
732,iveyjr 2005.03.27,875,2,0,35,233,29,-204,Level A
832,FJB 2005.03.11,905,3,0.5,35,244,9,-235,Level A
83,HappyCrap 2000.02.02,885,1,1,34,61,32,-29,Level A
246,Halfman 2006.03.01,986,3,3,34,135,44,-91,Level A
288,WardBurtonfan 2003.02.02,821,2,1,34,130,29,-101,Level A
333,GolfBob 2004.12.23,1005,1,1,34,137,24,-113,Level A
389,PIONPAGO 2006.01.14,945,2,0.5,34,173,44,-129,Level B
551,LazyFIDERook 2006.08.22,922,1,0,34,198,35,-163,Level A
660,BollNCSU 2001.07.30,953,3,0,34,206,24,-182,Level A
771,StrwberyNBanana 2000.02.05,990,1,1,34,228,12,-216,Level A
