Sort,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,Analysis 
554,fjjvh 2009.03.27,700,27,1.5,278,276,18,-258,Level A
690,fjjvh 2009.03.08,726,15,1,246,404,11,-393,Level A
280,tigerblue 2009.03.27,1142,26,24.5,225,160,22,-138,Level A
657,jatwfn 2009.03.08,1026,13,12,222,364,14,-350,Level A
659,fjjvh 2009.03.19,691,15,1.5,185,362,10,-352,Level A
644,fjjvh 2009.03.11,699,8,0.5,179,354,22,-332,Level A
694,fjjvh 2009.03.07,725,6,1,135,415,14,-401,Level A
562,jatwfn 2009.03.19,1067,14,12.5,132,276,17,-259,Level A
424,dahuigou 2009.06.24,706,5,1.5,130,223,25,-198,Level B
602,fjjvh 2009.03.12,689,9,0.5,130,312,21,-291,Level A
297,petsocietyrocks 2009.06.24,1249,5,3.5,125,177,30,-147,Level B
365,fjjvh 2009.03.21,686,8,2.5,121,197,26,-171,Level A
581,jatwfn 2009.03.07,1026,6,5,121,291,19,-272,Level A
335,chmpf 2009.03.21,947,7,5,113,185,27,-158,Level A
642,fjjvh 2009.03.17,710,9,0,111,335,8,-327,Level A
380,jdchopra 2009.04.17,835,10,5,101,211,33,-178,Level A
539,jatwfn 2009.03.17,1045,9,9,92,261,12,-249,Level A
715,fjjvh 2009.03.28,680,5,0,91,455,4,-451,Level A
606,fjjvh 2009.03.10,708,7,0,90,313,18,-295,Level A
529,nathy 2009.07.19,879,6,0,85,264,20,-244,Level A
584,jatwfn 2009.03.11,1040,6,6,85,289,15,-274,Level A
600,nathy 2009.07.21,802,9,0,83,302,16,-286,Level A
291,borovo 2009.06.17,1038,2,1,70,175,29,-146,Level A
146,Naym 2009.04.03,863,2,1,68,118,31,-87,Level A
547,chmpf 2009.03.12,961,3,2.5,68,280,26,-254,Level A
426,xDieInAFirex 2009.07.24,693,4,0,67,224,25,-199,Level A
473,checkraiseallin 2009.05.01,896,4,1,66,244,26,-218,Level A
143,Dlegend 2009.06.17,873,2,1,65,123,37,-86,Level A
277,borovo 2009.06.11,1073,3,1,63,172,37,-135,Level A
474,nathy 2009.07.17,976,4,0,63,246,27,-219,Level A
384,Rastaluke 2009.06.02,729,3,0,61,210,31,-179,Level A
702,fjjvh 2009.03.13,690,4,0.5,61,435,16,-419,Level A
237,Booyens 2009.07.25,970,3,0.5,60,150,28,-122,Level B
275,andrejas 2009.07.25,969,3,2.5,58,172,38,-134,Level B
276,JAYDENBLANE 2009.06.02,1137,3,3,58,160,26,-134,Level A
655,chmpf 2009.03.11,975,2,1.5,57,368,19,-349,Level A
670,Crashinator 2009.02.01,845,5,0,57,375,12,-363,Level A
268,ashwinshivani 2009.01.15,940,4,3,55,155,24,-131,Level A
618,markhodges 2009.05.01,1073,2,1,55,324,20,-304,Level A
652,nathy 2009.07.22,774,6,0,55,358,18,-340,Level A
83,churrcuz 2009.03.08,1015,1,1,54,90,41,-49,Level B
119,Traenexx 2009.03.04,915,1,0.5,54,104,35,-69,Level A
189,JEFFMHOW 2009.01.15,945,3,2,54,135,33,-102,Level A
86,gforced 2009.03.08,984,1,0,53,100,47,-53,Level B
195,treezen 2009.03.03,998,1,0.5,53,134,30,-104,Level A
230,borovo 2009.06.01,1027,3,1,53,147,28,-119,Level A
263,Fnorgmuffin 2009.04.12,734,1,0,53,171,40,-131,Level A
663,Loran 2009.06.26,870,7,0,53,369,11,-358,Level A
131,nicksun 2009.01.25,981,2,1,52,109,33,-76,Level A
537,paire 2009.03.13,1216,4,3.5,52,266,17,-249,Level A
132,krishnak 2009.04.03,1128,1,1,51,109,33,-76,Level A
372,pendaggie 2009.01.05,868,1,0,51,204,29,-175,Level A
509,Loran 2009.07.15,795,6,0.5,51,251,18,-233,Level A
87,Fukiyama 2009.03.04,913,2,1.5,50,91,38,-53,Level A
109,sterum 2009.04.12,1124,1,1,50,103,38,-65,Level A
720,fjjvh 2009.03.09,713,5,0,50,497,18,-479,Level A
311,fishmasters 2009.01.05,1079,1,1,49,178,27,-151,Level A
477,ANDYTASTIC 2009.07.30,990,2,1,49,244,24,-220,Level A
531,RyanBall 2009.06.20,1071,1,1,49,270,25,-245,Level A
135,Fukiyama 2009.03.03,905,1,0.5,48,116,38,-78,Level A
207,smalldreams 2009.07.27,1029,3,2,48,144,35,-109,Level B
218,nathy 2009.07.25,756,3,0,48,144,31,-113,Level B
244,jatwfn 2009.03.28,1073,4,4,48,151,27,-124,Level A
255,Benly 2009.03.11,865,4,1,47,157,30,-127,Level A
288,Dlegend 2009.06.11,825,2,1,47,181,38,-143,Level A
460,Dlegend 2009.06.24,901,3,1,47,243,30,-213,Level A
524,borovo 2009.06.24,1040,3,2,47,273,30,-243,Level A
381,Loran 2009.07.29,782,3,0,46,189,11,-178,Level B
425,paire 2009.03.10,1242,4,4,46,215,17,-198,Level A
257,robertpmntr 2009.06.30,1106,1,0,45,149,22,-127,Level B
429,Loran 2009.06.20,851,2,1,45,233,33,-200,Level A
454,minhhuan 2009.01.24,1027,1,0,45,229,18,-211,Level A
75,munon 2009.01.29,993,1,1,44,76,36,-40,Level A
102,HeliosMax 2009.06.30,866,1,1,44,103,43,-60,Level B
266,jaydottaylor 2009.01.24,961,1,1,44,163,32,-131,Level A
464,xDieInAFirex 2009.05.14,830,3,0,44,235,20,-215,Level A
72,luoyun 2009.01.29,864,1,0,43,81,42,-39,Level A
353,robertpmntr 2009.03.21,955,1,0,43,191,26,-165,Level B
158,maramures 2009.07.25,1010,3,3,42,119,29,-90,Level B
197,Gleelee 2009.07.24,1208,1,1,42,136,31,-105,Level A
346,Hazardo 2009.05.25,959,2,1,42,189,26,-163,Level A
434,HeliosMax 2009.06.11,907,3,2,42,226,24,-202,Level A
359,Awais 2009.02.01,992,3,3,41,200,32,-168,Level A
393,stota 2009.07.26,916,3,1,41,209,27,-182,Level A
528,paire 2009.03.12,1246,2,2,41,268,24,-244,Level A
57,Deltaprism 2009.03.11,1059,3,2,40,89,57,-32,Level D
106,IWON 2009.03.21,1016,1,1,40,112,48,-64,Level B
267,Kundeohmar 2009.05.25,963,2,1,40,161,30,-131,Level A
530,SoloBaric 2009.07.20,931,1,1,40,273,28,-245,Level A
622,Traenexx 2009.01.27,833,2,0,40,328,20,-308,Level A
236,AureA 2009.03.30,1003,3,1.5,39,163,41,-122,Level B
334,robertpmntr 2009.03.26,900,2,2,39,186,28,-158,Level A
633,fjjvh 2009.03.04,729,5,1,39,341,20,-321,Level A
647,Avisharv 2009.04.18,944,1,0,39,349,15,-334,Level A
219,RichardJohnson 2009.05.14,1054,3,3,38,131,18,-113,Level A
383,spiderz 2009.06.01,1037,1,0,38,211,32,-179,Level A
452,paire 2009.03.09,1277,5,5,38,235,24,-211,Level A
533,fjjvh 2009.03.06,733,2,0,38,267,21,-246,Level A
660,xDieInAFirex 2009.05.21,676,4,0,38,371,18,-353,Level A
677,nathy 2009.07.20,835,7,0,38,387,13,-374,Level A
331,Crashinator 2009.01.11,799,2,1,37,179,22,-157,Level A
485,ManWhoKilledDeer 2009.02.10,854,2,0,37,247,22,-225,Level A
74,JHLD 2009.07.29,1057,3,3,36,87,47,-40,Level B
149,treezen 2009.03.26,1033,2,0,36,119,31,-88,Level A
205,gilandrew 2009.04.13,912,1,0,36,133,25,-108,Level A
264,indbug 2009.02.05,956,2,0.5,36,170,39,-131,Level C
401,JedTed 2009.02.10,1099,2,2,36,205,17,-188,Level A
610,paire 2009.03.15,1226,4,3.5,36,328,31,-297,Level A
688,Bmoresoldier 2009.06.22,934,1,0,36,411,19,-392,Level A
723,jatwfn 2009.03.05,1017,2,2,36,503,11,-492,Level A
378,stota 2009.07.29,927,1,0,35,199,23,-176,Level A
390,bigjturner 2009.02.04,997,1,0.5,35,204,23,-181,Level A
517,deeprince 2009.01.22,872,2,0,35,265,26,-239,Level A
590,ifuwurarabitidnmu 2009.07.22,936,1,1,35,296,20,-276,Level A
56,LisbonNightTrain 2009.04.13,983,1,1,34,69,38,-31,Level A
302,jdchopra 2009.04.18,1003,2,2,34,190,41,-149,Level A
406,SimonDedalus 2009.07.29,1061,1,1,34,204,15,-189,Level A
534,chokefetuschoke 2009.07.22,911,1,0,34,267,21,-246,Level A
661,Booyens 2009.07.03,982,4,0,34,368,15,-353,Level A
51,staljin 2009.02.05,971,2,1.5,33,88,58,-30,Level C
188,plumbo 2009.03.28,908,1,0,33,141,39,-102,Level A
234,francod 2009.06.24,997,1,1,33,163,42,-121,Level A
273,AureA 2009.03.28,1035,1,1,33,151,18,-133,Level A
617,fjjvh 2009.03.15,689,4,0.5,33,328,24,-304,Level A
138,rafaelpadua 2009.02.04,985,1,0.5,32,119,38,-81,Level A
208,stota 2009.07.30,915,1,0,32,140,31,-109,Level A
213,Drvanger 2009.07.20,1064,1,0,32,138,28,-110,Level A
324,Thorolas 2009.01.13,924,1,1,32,187,31,-156,Level A
568,GeorgiaCohen 2009.06.09,803,2,0.5,32,280,19,-261,Level A
638,zqnzt 2009.06.22,1032,1,1,32,345,22,-323,Level A
103,gasparegg 2009.07.30,1052,1,1,31,100,39,-61,Level A
142,JaysonE 2009.01.24,1052,1,1,31,133,48,-85,Level C
355,skiparooni 2009.02.02,1059,1,0,31,205,39,-166,Level B
388,msbillions 2009.01.25,923,1,0,31,203,23,-180,Level A
405,dubaddict 2009.04.17,893,2,0,31,212,23,-189,Level A
569,Rastaluke 2009.05.25,803,3,0,31,285,23,-262,Level A
586,gorkietalkie 2009.01.27,1100,1,1,31,304,29,-275,Level A
699,fjjvh 2009.03.05,736,2,0,31,432,16,-416,Level A
191,Xoppo 2009.06.24,969,1,0,30,136,33,-103,Level A
241,Waggaristo 2009.04.13,1070,1,0,30,153,30,-123,Level A
298,PLUGZ 2009.05.20,1068,2,0,30,177,30,-147,Level A
340,ktinfl 2009.01.24,897,1,0,30,181,20,-161,Level C
431,ashwinshivani 2009.01.13,976,2,0,30,218,17,-201,Level A
632,Kundeohmar 2009.07.01,977,1,0,30,347,27,-320,Level A
227,DREZIO 2009.02.02,876,1,1,29,152,35,-117,Level B
259,Booyens 2009.06.09,1018,2,1.5,29,152,24,-128,Level A
457,badstep 2009.07.26,1077,1,0,29,247,35,-212,Level A
99,stota 2009.07.27,919,1,1,28,116,57,-59,Level C
100,borovo 2009.06.12,1049,1,1,28,109,50,-59,Level C
101,insanemew 2009.04.13,918,1,1,28,91,32,-59,Level A
113,catfu 2009.07.15,1086,2,2,28,114,46,-68,Level B
329,LavAzza 2009.07.29,760,2,1,28,186,29,-157,Level A
385,GoGoYubari 2009.07.29,1070,2,1,28,208,29,-179,Level A
435,GoGoYubari 2009.07.03,968,4,4,28,223,21,-202,Level A
523,Killerhoernchen 2009.02.04,983,2,0,28,260,18,-242,Level A
556,smalldreams 2009.07.19,1013,2,2,28,276,18,-258,Level A
576,Limzaroth 2009.02.20,936,2,1,28,293,25,-268,Level A
698,fjjvh 2009.03.20,686,3,0.5,28,432,18,-414,Level A
145,deeprince 2009.01.30,801,3,2,27,128,41,-87,Level A
163,IrishRottie 2009.03.13,990,1,1,27,125,33,-92,Level A
303,Kundeohmar 2009.06.12,898,2,0,27,190,41,-149,Level A
317,JAYDENBLANE 2009.05.25,1151,3,3,27,186,33,-153,Level A
572,jaydottaylor 2009.01.22,1114,1,1,27,285,19,-266,Level A
605,IrishRottie 2009.06.19,1070,1,0,27,305,11,-294,Level A
615,jatwfn 2009.03.10,1036,2,2,27,317,15,-302,Level A
95,RangoBango 2009.01.25,1002,1,1,26,88,31,-57,Level B
175,Beerbong 2009.01.09,955,1,0,26,129,31,-98,Level A
192,Akio 2009.03.13,908,1,0,26,126,23,-103,Level A
306,scoroyale 2009.07.30,851,2,1,26,185,35,-150,Level A
330,Avisharv 2009.05.04,937,1,1,26,180,23,-157,Level A
364,Jia 2007.01.31,1001,1,0,26,198,27,-171,Level C
369,Booyens 2009.07.01,987,1,1,26,207,35,-172,Level A
396,jatwfn 2009.03.06,1023,1,1,26,210,27,-183,Level A
491,ktinfl 2009.06.19,865,1,1,26,238,12,-226,Level A
579,Hazardo 2009.07.14,958,2,0,26,305,35,-270,Level B
582,chokefetuschoke 2009.02.20,885,2,1,26,285,12,-273,Level A
676,fjjvh 2009.03.16,693,3,1.5,26,390,19,-371,Level A
700,fjjvh 2009.04.02,669,3,0.5,26,421,4,-417,Level A
50,KoalieAwe 2009.02.26,1009,1,0,25,65,36,-29,Level B
59,SunRaphi 2009.01.09,995,1,1,25,76,44,-32,Level A
182,bluepen 2009.02.08,997,1,0,25,128,28,-100,Level A
220,robertpmntr 2009.04.07,1031,1,0,25,142,28,-114,Level B
222,texasroots 2009.02.08,967,1,1,25,139,24,-115,Level A
436,vcrazy 2009.01.11,1189,1,0,25,231,28,-203,Level A
448,chmpf 2009.03.04,956,1,1,25,217,8,-209,Level A
461,RichardJohnson 2009.07.24,1261,3,3,25,241,28,-213,Level A
