Sort,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
118,Pablo San Segundo Carrillo,2485,1,1,26,75,50,-25,Level D
119,Sune Berg Hansen,2440,1,0.5,35,69,43,-26,Level A
120,Sergey Zagrebelny,2515,1,0.5,17,62,35,-27,Level A
121,Smbat G Lputian,2590,1,0,36,68,39,-29,Level A
122,Espen Agdestein,2330,1,0.5,36,72,42,-30,Level A
123,Olav Sepp,2470,1,0,40,67,35,-32,Level C
124,Walter Wittmann,2390,1,0,29,94,55,-39,Level D
125,Zigurds Lanka,2540,2,1.5,53,74,34,-40,Level A
126,Grigory Serper,2420,1,0.5,32,86,38,-48,Level A
127,Vasily Yemelin,2520,1,0,32,95,44,-51,Level C
128,Jiangchuan Ye,2575,1,0,23,92,39,-53,Level D
129,Jonathan D Tisdall,2465,1,0,22,90,27,-63,Level A
130,Jan Plachetka,2420,1,0,13,122,39,-83,Level D
131,Federico Manca,2375,1,0,23,130,39,-91,Level C
