Sort,Name,Rating,Games,Result,Moves,CPL,MM,Sort score,"Analysis "
100,Karel Mokry,2490,1,0,40,45,40,-5,Level D
101,Matthias Roeder,2330,3,0.5,63,57,51,-6,Level C
102,Bela Perenyi,2370,5,2.5,130,54,48,-6,Level C
103,Andras Meszaros,2380,2,0,114,52,46,-6,Level B
104,Zoltan Vancsura,2295,2,0.5,71,61,53,-8,Level C
105,Stuart Wagman,2230,4,1.5,86,60,52,-8,Level C
106,Jan Banas,2395,6,3.5,238,56,47,-9,Level B
107,Lars Bo Hansen,2405,1,1,29,58,48,-10,Level B
108,Matthias Ruf,2310,2,1,75,63,51,-12,Level C
109,Ferenc Portisch,2435,1,0,29,62,48,-14,Level B
110,Klaus Busch,2360,2,0,50,62,48,-14,Level D
111,Vladimir Bukal,2440,2,1,61,65,49,-16,Level C
112,Jorma Kekki,2290,3,0,96,57,40,-17,Level C
113,Alexander Fauland,2390,1,1,38,49,32,-17,Level C
114,Zoltan Vargyas,2245,1,0.5,18,57,39,-18,Level B
115,Miklos Hever,2305,1,0,34,60,41,-19,Level C
116,Tamas Horvath,2390,3,1,79,71,48,-23,Level B
117,Alfred Weindl,2245,2,1,41,63,39,-24,Level C
118,Gabor Pirisi,2350,9,4.5,202,74,47,-27,Level C
119,Jevgenyij Boguszlavszkij,2425,1,0,33,69,39,-30,Level C
120,Norbert Sehner,2365,1,0,28,95,50,-45,Level D
121,Franz Wiedermann,2220,2,0,43,89,42,-47,Level C
122,Lennart Johanson,,2,0,73,102,48,-54,Level C
123,Ekkehard Fochtler,2290,1,0,36,93,36,-57,Level D
124,Stevan Peric,2285,2,0,42,103,45,-58,Level C
125,Franz Juraczka,2245,3,0.5,66,103,42,-61,Level C
126,Alexey Vyzmanavin,2555,1,0,27,104,30,-74,Level D
127,Alex Sherzer,2360,1,0,24,139,63,-76,Level D
128,Philipp Schlosser,2420,1,0,19,110,32,-78,Level D
129,Stefan Gross,2435,1,0,34,115,35,-80,Level C
130,Tibor Karolyi,2445,1,0,31,130,29,-101,Level C
131,Zbigniew Jasnikowski,2405,1,0,16,146,38,-108,Level B
